Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP001670;;75001;11;3;LOUVRE-SAINT HONORE;REHABILITATION_IMMEUBLE;;place du Palais Royal;n°2;2020-06-29;2025-03-31;RESTREINTE;Maintien d'une file de circulation .Lors des livraisons cette voie pourra être fermée.;2;4;;"{""coordinates"": [[[2.337232888790253, 48.862257597171684], [2.3370699264413646, 48.86231023365322], [2.3371952989616256, 48.86251913700107], [2.337272622259835, 48.86253622203807], [2.3373757632412215, 48.86250823886393], [2.337232888790253, 48.862257597171684]]], ""type"": ""Polygon""}";48.86240295301129, 2.3372231998594786
CP002666;;75015;13;3;S.N.C.F;REHABILITATION_IMMEUBLE;;Boulevard Vaugirard (1-17);;2024-10-30;2026-03-30;RESTREINTE;Réduction de voirie et suppression du couloir de bus. Circulation sur une voie pour tous les véhicules.;1;2;;"{""coordinates"": [[[2.319176513855834, 48.84165315782454], [2.319752173403109, 48.84180949672928], [2.319772793744469, 48.841788131722375], [2.319748490643204, 48.84177993700274], [2.319760975804965, 48.84175852573643], [2.3192056202719904, 48.84160498702553], [2.319176513855834, 48.84165315782454]]], ""type"": ""Polygon""}";48.84170643714342, 2.3194725247371406
CP002673;;75014;12;3;R.A.T.P;RACCORDEMENT_RESEAU;travaux de H.T.A;rue Froidevaux;Depuis la rue Emile Richard jusqu'à la place Denfert Rochereau.;2024-09-16;2024-11-28;RESTREINTE;Fermeture totale de la piste cyclable depuis l'avenue du Maine jusqu'à la place Denfert-Rochereau.;2;2;;"{""coordinates"": [[[2.327835778578545, 48.836382990256425], [2.327966219926423, 48.83636223995273], [2.327725764356672, 48.83608161188321], [2.3312731637381088, 48.83476227918966], [2.3315014290784988, 48.835042832255496], [2.331709732552498, 48.834976862767334], [2.3312573420274765, 48.83472728165328], [2.327587394703469, 48.83605207134974], [2.327835778578545, 48.836382990256425]]], ""type"": ""Polygon""}";48.83549694973529, 2.3293822608488584
CP002689;;75014;12;1;S.A.P;TRAVAUX_URGENCE;affaissement d'un avaloir.;39 rue d'Alesia.;;2024-09-27;2024-11-29;BARRAGE_TOTAL;Depuis la rue de la Tombe d'Issoire jusqu'à la place Victor et Hélène Basch.;1;2;;"{""coordinates"": [[[2.3324922753795225, 48.8278949423307], [2.3324127236847345, 48.82775485843368], [2.327051745527378, 48.82778389052444], [2.3271232178009864, 48.82791856152905], [2.3324922753795225, 48.8278949423307]]], ""type"": ""Polygon""}";48.827837987228314, 2.329787693718862
CP002720;;75008;9;2;CPCU;TRAVAUX_URGENCE;Réfection d'une canalisation;Rue Pierre Charron;N°53;2025-01-13;2025-03-06;SENS_UNIQUE;Mise en sens unique de la rue Pierre Charron :à partir de la Rue François Premier jusqu' à L'Avenue  Des Champs Elysées.;2;1;;"{""coordinates"": [[[2.302940328500906, 48.86939281276597], [2.3031756447328884, 48.86945057372461], [2.303162571387872, 48.86951494470959], [2.30321605887557, 48.869472291666156], [2.3028604708446916, 48.869276880683024], [2.3028030925463394, 48.86930608458094], [2.302940328500906, 48.86939281276597]]], ""type"": ""Polygon""}";48.869369888800854, 2.3029764802428447
CP002441;671912;75010;11;3;APHP Lariboisière;CONSTRUCTION_IMMEUBLE;Hôpital Lariboisière;Rue de Maubeuge;Emprise située du n° 111 au n° 119;2022-10-10;2026-06-03;RESTREINTE;"Emprise sur chaussée + trottoir impair
Circulation restante : 2 x 3ml";2;2;;"{""coordinates"": [[[2.3548154074086916, 48.882758481941224], [2.3547448071349977, 48.882778327386305], [2.355374654334728, 48.88392268022739], [2.3554557692244136, 48.883927876177694], [2.3548154074086916, 48.882758481941224]]], ""type"": ""Polygon""}";48.88334292681566, 2.3550956528458444
CP002650;;75008;9;2;STV Nord Ouest;REAMENAGEMENT_VOIRIE;végétalisation de la rue Monceau.;Rue de Monceau;depuis la place de Rio de Janeiro et le boulevard Malesherbes.;2024-09-09;2024-12-15;RESTREINTE;"Travaux en 2 phases. 
Maintient de la piste cyclable.";2;4;;"{""coordinates"": [[[2.3140418125501685, 48.879382341258975], [2.3141409303728238, 48.87927549961119], [2.310726656170242, 48.877623252126455], [2.3105785435378534, 48.87774055067246], [2.310627678011157, 48.877719351140314], [2.310578401367952, 48.87775129064733], [2.3106111093901682, 48.87774073821427], [2.3140418125501685, 48.879382341258975]]], ""type"": ""Polygon""}";48.878487350670866, 2.312342244476638
CP002695;;75015;13;3;Elogie.Siemp;REHABILITATION_IMMEUBLE;;5 rue du Bessin;;2024-10-07;2026-02-13;RESTREINTE;Réduction de la voirie avec entrée et sortie de poids lourds.;2;2;;"{""coordinates"": [[[2.305629240952048, 48.831148026839976], [2.3061722975740007, 48.830839003163874], [2.306176391780886, 48.830837013211635], [2.3062890940557974, 48.8308497509906], [2.3066414953218457, 48.8312660138834], [2.306666023598463, 48.83125675759909], [2.3062675376005193, 48.830788534014594], [2.3061577781227083, 48.83078386900094], [2.3055748162293677, 48.83111145879396], [2.305629240952048, 48.831148026839976]]], ""type"": ""Polygon""}";48.83097169004043, 2.3060615779034053
CP002713;;75004;12;2;RATP;TRAVAUX_OUVRAGE;Réfection d'étanchéité Métro Ligne 7 ( Sully Morland);;Métro  Sully-Morland;2024-11-12;2025-01-14;RESTREINTE;"Réduction des nombres des voies 
Déviation Cycliste du Quai Celestin vers rue de Sully
Fermeture du couloir bus/vélo entre Bastille et quai des Celestin, contresens cyclable maintenu";1;2;;"{""coordinates"": [[[2.3623091042878444, 48.85097445663517], [2.3623165452062835, 48.85113647817136], [2.362572088591997, 48.85120228670097], [2.362650676754134, 48.851097978206326], [2.36251676882508, 48.85106772642035], [2.362500395588644, 48.851075695602525], [2.3623091042878444, 48.85097445663517]]], ""type"": ""Polygon""}";48.851104192017296, 2.362455662363188
CP002429;662837;75015;13;3;SCCV Porte de Brancion;CONSTRUCTION_IMMEUBLE;Construction neuve, résidence sociale et commerces;Avenue de la Porte de Brancion;Carrefour au-dessus du périphérique;2022-11-14;2025-06-27;RESTREINTE;restriction à 2 files de circulation, maintien de la piste vélos et cheminement piétons.;2;4;;"{""coordinates"": [[[2.299950868215911, 48.82590374090183], [2.30015215168723, 48.82580973482902], [2.300165534628195, 48.8256182539662], [2.300055510377768, 48.82562593831275], [2.2997950850984825, 48.82569580213723], [2.299950868215911, 48.82590374090183]]], ""type"": ""Polygon""}";48.82574599992238, 2.300005595088704
